MouseID,mucosal,submucosal,overall_inf,transmural,architecture,Score,Genotype,Sex,Diet,FITC or Indo
9,3,1,3,0,0,3,WT,Female,Control,FITC
642,2,3,3,0,0,3,WT,Female,Control,FITC
2,1,3,3,0,0,3,WT,Male,Control,FITC
634,0,1,2,0,1,3,WT,Male,Control,FITC
241,1,3,3,0,0,3,WT,Female,Selenium,FITC
249,2,2,3,0,0,3,WT,Female,Selenium,FITC
178,3,3,3,0,0,3,WT,Male,Selenium,FITC
613,3,2,3,0,1,4,WT,Female,Control,FITC
654,0,0,0,0,4,4,WT,Female,Control,FITC
3,8,1,3,0,1,4,WT,Male,Control,FITC
633,3,1,3,0,1,4,WT,Male,Control,FITC
633,3,1,3,0,1,4,WT,Male,Control,FITC
71,3,3,3,0,1,4,WT,Female,Selenium,FITC
679,1,0,1,0,4,5,WT,Male,Control,FITC
