Sample #,MouseID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Genotype,Diet,Sex,Weight
28,959,281.030,0.076,39.404,117.577,0.063,16.790,2.540,WT,Control,Male,9.8
29,932,170.785,0.084,30.319,115.482,0.000,8.055,3.546,MUT,Control,Female,7
30,448,1083.307,5.750,10.027,37.255,0.000,19.380,0.000,MUT,Control,Male,5.7
31,436,192.272,5.016,6.102,33.858,0.000,5.009,1.136,HET,Selenium,Male,10
32,430,274.852,0.260,17.197,123.110,0.000,26.106,7.067,HET,Selenium,Female,6.7
33,455,217.340,0.086,13.612,127.874,0.000,5.159,5.019,WT,Selenium,Female,8.7
34,490,463.170,0.132,19.581,161.656,0.078,14.304,9.167,WT,Selenium,Male,10.4
35,481,213.386,0.090,15.814,130.365,0.000,7.921,6.183,MUT,Selenium,Female,12.2
36,463,222.517,0.125,17.349,133.802,0.000,14.604,6.859,MUT,Selenium,Male,11.7
37,912,448.293,0.150,43.639,128.513,0.122,12.145,2.698,HET,Control,Male,6.3
38,963,283.204,0.100,40.859,112.744,0.070,7.055,3.669,HET,Control,Female,8.2
39,908,570.367,0.186,55.242,163.688,0.000,9.808,4.178,WT,Control,Female,3.2
40,969,391.018,0.161,56.787,170.146,0.000,28.565,0.000,WT,Control,Male,5.6
41,917,272.760,0.112,36.296,118.949,0.000,10.540,4.207,MUT,Control,Female,7.4
42,452,352.999,0.174,23.617,167.485,0.000,33.937,1.085,MUT,Control,Male,4.1
43,447,269.099,6.251,7.911,44.121,0.000,17.723,2.626,HET,Selenium,Male,3.3
44,431,236.842,0.323,16.526,118.583,0.000,5.258,6.611,HET,Selenium,Female,7
45,472,224.707,0.121,15.621,148.694,0.067,21.547,8.110,WT,Selenium,Female,18
46,494,152.146,0.056,15.087,146.014,0.000,6.378,6.403,WT,Selenium,Male,13
47,457,173.017,0.127,16.725,145.554,0.048,11.596,7.023,MUT,Selenium,Female,13.2
48,435,228.926,6.506,19.613,102.908,0.000,2.183,3.383,MUT,Selenium,Male,5.8
49,402,197.835,0.063,19.060,150.324,0.110,9.716,3.614,HET,Control,Male,21
50,964,502.700,0.137,68.626,142.921,0.042,9.309,0.000,HET,Control,Female,3.8
51,406,165.208,0.087,19.409,148.900,0.000,4.751,3.268,WT,Control,Female,15.1
52,413,286.522,0.083,21.059,160.892,0.093,5.234,2.749,WT,Control,Male,12.6
53,405,185.692,0.075,19.870,146.487,0.000,4.087,3.030,MUT,Control,Female,15.4
54,418,165.778,0.052,18.593,133.041,0.036,3.502,3.667,MUT,Control,Male,21
55,449,220.599,5.437,9.378,33.968,0.000,3.935,2.181,HET,Selenium,Male,7.8
56,432,216.166,0.090,15.221,115.290,0.000,6.736,3.916,HET,Selenium,Female,6.2
57,319,217.514,0.248,31.613,143.948,0.110,17.989,7.825,WT,Selenium,Female,9.3
58,496,611.781,0.380,27.243,169.730,0.000,45.614,7.962,WT,Selenium,Male,4.3
59,380,205.811,0.104,27.652,136.498,0.123,11.899,9.497,MUT,Selenium,Female,16.9
60,442,203.416,6.180,14.042,81.792,0.000,5.511,4.591,MUT,Selenium,Male,7.8
