"","89_MattDonor_MUT_F_Col_S268","90_MattDonor_WT_M_Col_S269","91_MattDonor_WT_F_Col_S270","92_MattDonor_WT_M___S271","93_MattDonor_MUT_M_Cec_S272","94_MattDonor_MUT_F_Cec_S273"
"Duncaniella muris",60876,149741,162395,56354,14916,42412
"Duncaniella sp910578445",8045,10533,14829,4335,3511,3595
"Duncaniella freteri",53485,67376,66764,29734,5712,45319
"Duncaniella sp910578515",4312,9114,8029,4484,8289,3087
"Duncaniella sp910577255",2580,5397,4926,2622,4889,2159
"Duncaniella sp910577345",2892,9031,6963,3407,35449,2437
"Duncaniella sp910577335",3131,4740,5679,2834,4487,2878
"MGYG000325799",2829,5946,7423,2654,1572,1927
"Duncaniella sp014802345",1759,2348,2827,1040,1515,1520
"Duncaniella sp910578615",4988,8814,7000,2817,567,2635
"MGYG000325465",1145,2216,2657,1247,1313,809
"Duncaniella sp910586305",886,1695,1965,732,1478,753
"Duncaniella sp001689495",607,1063,1247,518,2348,394
"MGYG000327170",545,1105,1067,455,714,359
"Duncaniella sp910584825",599,1013,1493,488,3450,547
"Duncaniella sp910587165",426,969,987,413,684,303
"MGYG000325518",428,718,918,309,687,291
"Duncaniella sp002494015",463,675,841,385,1485,327
"Duncaniella sp910587515",416,926,1086,432,379,333
"Duncaniella sp910586665",338,586,694,253,597,196
"Duncaniella sp014801945",186,247,376,128,319,130
"Duncaniella sp910588795",1014,1166,1285,521,1255,911
"Duncaniella sp001701225",136,238,267,99,311,107
"Duncaniella sp014802325",108,198,257,113,161,82
"Duncaniella sp014802015",124,246,278,95,769,112
"MGYG000325456",178,239,311,119,331,100
"MGYG000325723",53,145,150,46,254,53
"MGYG000325575",103,165,233,80,266,82
"MGYG000325671",63,114,150,59,153,48
"CAG-873 sp009775135",104729,368513,158299,57908,9161,89496
"CAG-873 sp002490635",157418,190389,216660,58802,16520,84440
"MGYG000328238",151301,718246,543866,99881,1145,118861
"CAG-873 sp009775265",64623,67042,149824,18888,1161,55388
"CAG-873 sp011959565",54278,67777,127880,29331,2876,47693
"CAG-873 sp910578365",40057,111378,127416,41782,28106,22499
"CAG-873 sp910587235",19760,66638,43570,17714,4095,11085
"CAG-873 sp009775225",7974,17146,19025,6862,33041,6415
"CAG-873 sp009775535",68003,113028,170059,69355,238356,60076
"CAG-873 sp910577315",3326,7739,7763,4154,5599,2146
"CAG-873 sp910584905",994,1912,2075,1003,1502,891
"CAG-873 sp910587545",932,1423,1827,560,134,598
"CAG-873 sp910586455",3298,8419,9487,3136,3321,1763
"MGYG000324412",618,1790,1465,785,3781,570
"CAG-873 sp910587915",936,5357,3176,2053,787,635
"CAG-873 sp001689665",815,1351,1548,653,789,670
"CAG-873 sp017624155",197,263,317,55,63,143
"MGYG000329414",445,733,756,396,165,384
"CAG-873 sp910578095",408,914,860,499,820,320
"CAG-873 sp910586975",779,2119,1743,812,1066,507
"CAG-873 sp001689415",586,1061,1180,656,585,727
"MGYG000325453",604,927,1047,413,912,348
"CAG-873 sp910587475",341,1046,658,734,2025,377
"CAG-873 sp900550395",381,632,627,254,625,302
"MGYG000325639",373,487,667,192,161,193
"CAG-873 sp910576935",233,455,422,202,137,197
"MGYG000328998",163,356,324,166,294,151
"CAG-873 sp910578035",542,767,1034,369,545,399
"MGYG000322997",276,865,663,216,423,225
"MGYG000325431",119,212,243,85,96,80
"CAG-873 sp905202215",283,442,504,211,150,175
"CAG-873 sp009775195",143,243,235,83,175,79
"CAG-873 sp910586995",146,296,283,101,475,90
"CAG-873 sp910577355",180,386,361,115,71,119
"MGYG000325570",107,164,210,78,78,83
"MGYG000325620",247,449,437,200,290,216
"CAG-873 sp001701165",242,489,584,268,94,215
"MGYG000325469",147,222,264,125,373,117
"CAG-873 sp003979155",200,338,383,147,137,181
"MGYG000325729",228,381,390,280,207,155
"CAG-873 sp910576775",207,344,336,208,358,162
"MGYG000325342",202,344,525,167,916,205
"MGYG000325463",172,193,295,118,166,150
"CAG-873 sp910587355",133,159,189,60,63,75
"CAG-873 sp910583525",118,261,322,132,73,108
"MGYG000328958",112,166,135,88,76,93
"MGYG000325379",183,274,334,161,413,110
"CAG-873 sp910584495",124,264,289,104,366,121
"CAG-873 sp910589055",149,278,303,97,190,140
"CAG-873 sp910586595",83,194,172,110,170,102
"MGYG000325473",45,82,100,24,0,23
"CAG-873 sp910587925",109,274,250,119,139,65
"CAG-873 sp900555715",103,155,166,83,107,79
"CAG-873 sp002493945",78,158,156,68,112,65
"CAG-873 sp002491245",67,122,115,68,125,48
"MGYG000329571",34,94,98,28,89,32
"MGYG000325537",37,50,78,34,91,35
"CAG-485 sp009775365",218875,409723,418440,89107,6138,119116
"CAG-485 sp002493045",835228,1734259,2213647,709470,35339,290357
"CAG-485 sp009775355",70171,167412,234165,20546,1864,45270
"CAG-485 sp002362485",290721,439348,635278,155960,62862,287149
"CAG-485 sp002361215",108845,288409,250472,68881,7363,86502
"CAG-485 sp002491945",185898,309545,304891,89595,644761,72212
"CAG-485 sp002361155",24815,49656,72504,8640,5293,17891
"MGYG000410771",16785,26673,31316,9605,8184,14773
"MGYG000325582",3245,7236,10094,1181,1334,2088
"CAG-485 sp002493515",1566,2933,2647,890,1273,881
"CAG-485 sp003979075",16366,32161,45689,8851,390,10408
"CAG-485 sp001701295",696,1492,2200,373,266,514
"MGYG000325475",1089,1885,1938,982,1770,836
"MGYG000327930",1074,2233,2230,678,570,680
"CAG-485 sp910584055",1619,2467,2936,1346,1137,1338
"MGYG000325569",4677,8048,7855,2294,16757,2010
"CAG-485 sp910579845",661,1027,998,669,1232,632
"CAG-485 sp910584125",415,1008,922,524,894,453
"CAG-485 sp910578385",564,1193,1174,545,1742,507
"MGYG000325346",784,1029,1547,595,481,469
"MGYG000324474",656,1141,1183,396,296,460
"CAG-485 sp910586175",633,1269,1496,595,294,444
"MGYG000329437",539,1012,1026,270,233,254
"MGYG000325442",626,971,1215,475,212,371
"CAG-485 sp910577585",403,780,713,351,550,278
"CAG-485 sp009775375",446,916,930,460,962,383
"MGYG000347897",2203,3203,4883,966,195,1999
"CAG-485 sp910578075",499,1050,1019,585,942,356
"CAG-485 sp900554845",436,702,705,399,422,399
"CAG-485 sp910583775",533,790,973,349,82,369
"MGYG000325760",413,703,791,323,318,264
"MGYG000325660",301,528,566,187,217,182
"CAG-485 sp910584545",351,523,659,237,262,279
"MGYG000325658",485,825,768,321,904,306
"CAG-485 sp910584525",413,736,819,272,394,300
"CAG-485 sp910583795",258,370,510,175,126,165
"CAG-485 sp910585275",479,787,972,314,541,302
"MGYG000325481",246,453,454,179,435,189
"CAG-485 sp910589425",152,301,321,172,248,87
"CAG-485 sp910588245",233,268,312,163,91,170
"CAG-485 sp014801815",234,451,467,173,131,154
"MGYG000329106",137,273,247,118,226,92
"MGYG000325458",3694,4853,7854,1408,180,3460
"MGYG000325710",336,594,623,294,92,169
"MGYG000325738",273,479,535,161,92,133
"MGYG000325560",302,539,470,234,27,248
"CAG-485 sp910579305",156,335,298,149,324,90
"MGYG000325644",284,536,579,212,409,197
"CAG-485 sp900760815",299,604,662,197,262,246
"MGYG000325315",523,853,871,231,1308,217
"MGYG000325633",142,256,292,109,108,80
"MGYG000325436",167,267,288,104,281,108
"MGYG000325715",151,228,319,97,293,95
"MGYG000325350",41,77,104,50,27,40
"MGYG000325747",111,240,245,131,132,84
"MGYG000325437",82,184,205,74,47,70
"CAG-485 sp014800895",126,183,215,85,94,66
"MGYG000325541",298,427,508,180,148,144
"MGYG000325479",134,239,255,137,103,81
"CAG-485 sp910585285",243,379,476,139,100,184
"CAG-485 sp910584185",143,282,319,154,98,85
"MGYG000325680",45,125,130,48,201,29
"MGYG000325622",119,178,257,82,69,70
"MGYG000325425",99,149,186,72,156,63
"MGYG000325415",67,163,151,49,211,69
"CAG-485 sp900550645",108,140,165,74,48,85
"MGYG000325597",77,115,116,34,28,39
"MGYG000325446",97,135,167,54,158,77
"MGYG000325721",13,37,53,24,26,23
"Muribaculum gordoncarteri",217768,197081,186397,128785,16296,262082
"Muribaculum sp009775095",19526,35027,36572,14059,21436,15020
"Muribaculum sp002473395",166412,328212,273810,148332,56665,236434
"Muribaculum faecis",7734,13052,12561,7997,24449,6904
"MGYG000325310",6115,6908,9737,4048,451,4382
"Muribaculum sp910587665",2614,2283,2557,1275,878,2946
"Muribaculum sp001701195",3420,5611,7152,3040,6674,2421
"Muribaculum sp910578785",3499,6437,8370,2380,222,1479
"Muribaculum sp910589555",1025,2519,2130,1111,694,640
"Muribaculum arabinoxylanisolvens",1963,2503,3350,1040,1729,1737
"Muribaculum sp003150235",627,998,922,521,636,490
"MGYG000328540",287,711,583,248,629,177
"Muribaculum sp910583865",265,347,430,173,197,168
"Muribaculum sp910578835",173,238,257,109,323,127
"Muribaculum sp001701065",109,221,228,81,162,91
"MGYG000328957",123,252,244,119,749,81
"UBA7173 sp001689485",56521,102883,91930,53678,1706085,31269
"UBA7173 sp001689685",115547,275556,117596,91517,7634,127713
"UBA7173 sp002491305",62601,136110,127668,26614,1062,45217
"UBA7173 sp013316675",27512,47866,48290,24241,18396,20450
"MGYG000329847",8537,14063,16105,9808,2512,8314
"UBA7173 sp013316535",6765,16169,15264,6043,3758,4371
"UBA7173 sp910584365",3431,6376,6508,2829,4252,3103
"UBA7173 sp910583675",690,958,1464,538,1143,774
"MGYG000325674",1378,2060,2695,1062,4076,1189
"UBA7173 sp910584735",855,1507,1664,458,1513,550
"UBA7173 sp900548705",316,496,619,163,226,329
"UBA7173 sp910585755",187,278,252,153,215,191
"UBA7173 sp910579105",125,234,246,113,274,86
"UBA7173 sp910586565",112,255,226,114,423,89
"UBA7173 sp900555165",65,123,142,36,111,54
"UBA7173 sp910587075",88,176,170,51,212,65
"MGYG000410332",78,118,114,61,361,56
"MGYG000325632",58,90,82,38,151,32
"MGYG000325803",124,294,225,80,278,108
"JAFLTL01 sp910578395",20604,38670,30773,24961,1166,22303
"MGYG000325590",780,1048,1484,617,881,692
"UBA3263 sp001689615",70924,227172,178381,149023,52787,38743
"MGYG000325470",634,1224,1490,770,1799,516
"UBA3263 sp002490725",511,874,981,414,238,367
"MGYG000331010",119,183,224,87,66,65
"UBA3263 sp014801955",133,252,248,154,468,77
"MGYG000325619",82,120,144,55,86,76
"MGYG000325600",17,55,44,15,59,23
"MGYG000325598",27,50,38,44,45,17
"JAGBWK01 sp001915385",389,721,735,304,643,285
"JAGBWK01 sp004102805",1613,3100,3077,1166,1691,1163
"MGYG000325382",800,1281,1322,552,1196,608
"MGYG000327564",1442,2905,4287,1631,5841,1522
"MGYG000328504",270,658,643,367,2402,261
"JAAVFS01 sp910584665",160,244,323,109,108,127
"MGYG000325322",42,104,107,42,83,29
"MGYG000325435",68,113,116,39,48,41
"CAJUPY01 sp910588035",392,725,761,396,119,270
"MGYG000325343",530,925,1072,642,658,263
"CAJUPY01 sp014802535",335,475,638,348,315,161
"MGYG000325663",93,122,154,56,269,62
"M3 sp001689445",2062,2079,2979,1058,1240,1728
"MGYG000328741",524,985,854,651,124,571
"CAG-1031 sp000431215",194,288,294,183,382,121
"Amulumruptor sp001689515",144,220,218,100,155,94
"Amulumruptor sp900539915",54,107,134,46,92,48
"Sodaliphilus sp004557565",54,139,136,78,0,46
"Limisoma sp000437795",59,91,87,47,153,34
"Bacteroides sp002491635",3107,7013,5859,3612,7599,3503
"Bacteroides sp910578895",1226,2311,3272,1655,5592,1140
"Bacteroides acidifaciens",39585,139295,114388,54831,7998,21652
"Bacteroides caecimuris",21894,46964,26988,21268,648163,18459
"Bacteroides sp910586915",598,2071,1704,1079,1756,494
"Bacteroides uniformis",3329,14128,4722,4716,1309,10651
"Bacteroides sp910585845",285,1206,887,382,7094,164
"Bacteroides sp900765785",2401,7815,6013,3116,4092,1514
"Bacteroides stercoris",133,239,243,170,2077,71
"MGYG000325585",118,287,235,81,125,98
"Bacteroides nordii",139,409,333,243,4731,182
"Bacteroides congonensis",991,3762,3128,1604,1323,578
"Bacteroides xylanisolvens",856,3218,1673,1027,5298,698
"Bacteroides intestinalis",11810,12606,11898,22210,2718327,21174
"Bacteroides cellulosilyticus",55,155,134,102,4613,62
"Prevotella sp002933775",229,343038,408606,71305,14826,182
"Prevotella muris",593,1341,1261,431,1168,378
"MGYG000325010",186,392,522,230,729,176
"MGYG000325676",94,212,198,142,197,128
"Prevotella sp013166515",91,326,316,139,412,94
"Prevotella rodentium",99,125,182,79,176,44
"Prevotella sp900545525",59,214,210,122,100,36
"MGYG000325400",17,45,60,27,86,12
"Prevotella intestinalis",52,176,166,77,479,62
"Phocaeicola vulgatus",1053,2925,2372,2532,26041,995
"Phocaeicola sartorii",109,191,162,146,768,145
"Phocaeicola sp011959205",536,1527,1199,786,3859,384
"Phocaeicola faecalis",120,270,298,147,363,103
"Phocaeicola plebeius_A",158,586,298,220,2616,176
"Phocaeicola massiliensis",33,121,95,48,309,51
"UBA4372 sp023665805",7814,16718,15677,5243,1595,7665
"MGYG000325572",65,80,139,48,384,59
"Alloprevotella sp009775705",968,1797,1699,598,2659,514
"Alloprevotella sp002933955",90,1304,1533,465,900,67
"Paraprevotella sp900548345",343,873,807,296,203,258
"Paraprevotella sp910586505",117,242,232,165,136,91
"Alistipes sp002428825",148534,467628,428671,552206,70177,368563
"Alistipes sp910587675",13310,37758,36516,19175,838,35391
"Alistipes timonensis",12450,32705,25558,10641,862,25069
"Alistipes sp910576555",143,184,228,234,208,340
"Alistipes sp009774895",9238,33621,18379,19316,1069,24195
"Alistipes sp002362235",995,3635,3531,2583,3120,1504
"Alistipes sp900552955",11,6003,1150,1490,74,59
"Alistipes sp910575495",1073,3079,2736,5315,1034,3268
"Alistipes sp910577475",482,1097,1098,2079,331,1386
"Alistipes sp002358415",145,272,257,292,98,231
"Avirikenella sp910588925",15921,33485,40344,29667,3934,26223
"MGYG000325667",485,753,943,280,273,392
"Rikenella sp910577885",262,478,481,402,199,296
"Parabacteroides distasonis",15919,111005,46380,61269,3345222,22827
"Parabacteroides goldsteinii",4512,21476,14524,11361,934541,9760
"Parabacteroides sp900760525",3342,19161,6695,7006,5730,9922
"Parabacteroides merdae",107,406,310,192,612,125
"Odoribacter sp021771575",43,127,113,87,204,39
"Odoribacter sp910578105",765,2932,2574,16355,26811,4487
"Odoribacter sp910589025",53,212,127,255,372,167
"Butyricimonas virosa",76,193,214,158,3063,102
"Pullibacteroides sp910586395",160,227,285,87,56,78
"Cryptobacteroides sp009774765",7299,17415,15438,22751,4078,16925
"Cryptobacteroides sp910585445",10466,69158,31962,59648,19031,17385
"Imtechella halotolerans",31,26,32,20,0,51
"Faecalibaculum sp910588395",0,0,11,0,0,0
"C-19 sp910576855",987,2855,1469,500,13,378
"MGYG000329824",88,247,131,48,0,26
"Ileibacterium valens",0,0,0,0,0,0
"Dubosiella sp004793885",0,0,0,0,0,0
"CAJTFG01 sp910575705",358,373,528,63,0,294
"Thomasclavelia cocleata",0,474,0,0,0,0
"Thomasclavelia ramosa",365,729,568,90,0,134
"MGBC113645 sp910579135",0,541,275,79,0,0
"Fimiplasma sp910588165",101,2655,127,64,0,34
"Lactobacillus intestinalis",858,1128,857,123,0,1032
"Lactobacillus sp910589675",457,2077,711,341,26,378
"MGYG000329195",54,298,140,36,0,75
"Lactobacillus taiwanensis",21,99,43,17,0,22
"Lactobacillus amylovorus",22,42,31,0,0,24
"MGYG000325525",0,46,10,58,0,14
"MGYG000326943",10,11,0,0,0,0
"Lactobacillus hominis",10,32,10,10,0,0
"Lactobacillus acidophilus",0,15,0,0,0,15
"MGYG000326944",0,0,0,0,0,0
"Lactobacillus delbrueckii",0,24,20,0,359,0
"Limosilactobacillus reuteri",897,1276,1384,315,393,1002
"Limosilactobacillus sp009663775",149,200,156,62,52,151
"Limosilactobacillus fermentum",16,32,11,10,11,20
"Limosilactobacillus equigenerosi",0,0,0,0,0,0
"Limosilactobacillus portuensis",147,205,248,94,76,70
"Ligilactobacillus murinus",9068,17669,11428,3608,4183,14677
"Ligilactobacillus animalis",515,1084,703,239,224,954
"Ligilactobacillus sp910587695",241,498,326,214,108,589
"Ligilactobacillus agilis",47,79,53,18,17,64
"Pediococcus pentosaceus",552,785,1016,278,112,433
"Enterococcus faecalis",31,48,16,0,6672,0
"Turicibacter sp002311155",4402,3165,4889,3460,63,7503
"MGYG000380869",40,49,64,39,54,26
"CAG-582 sp910577075",66,111,109,0,0,51
"UBA5026 sp910576795",0,11,0,0,0,0
"UBA5026 sp910586425",40,351,142,188,33,135
"MGYG000330354",31,114,94,61,881,0
"MGYG000338472",0,0,0,0,0,0
"MGYG000329046",0,23,0,0,0,0
"MGYG000331189",180,170,137,100,118,146
"Mammaliicoccus lentus",19,17,23,0,0,54
"Staphylococcus xylosus",0,13,11,0,0,0
"MGYG000410805",0,0,0,10,22,14
"Desulfovibrio sp910575755",448,1121,1108,932,76,1280
"Desulfovibrio sp910587035",24,63,60,0,0,28
"Desulfovibrio sp910584445",13,34,31,18,0,19
"MGYG000325668",0,0,0,0,0,0
"Desulfovibrio sp900556755",0,0,0,0,0,0
"Desulfovibrio sp905215675",0,0,0,0,0,0
"MGYG000325515",0,0,0,0,18,0
"Bilophila sp910585945",7593,21030,19250,20155,1327,27282
"Bilophila faecipullorum",0,13,23,10,0,15
"Bilophila sp902373525",0,0,12,0,0,0
"Mailhella sp910579055",127,326,287,212,18,348
"Mailhella excrementigallinarum",10,16,24,14,65,26
"MGYG000399267",30,90,67,13,0,40
"MGYG000410288",0,0,11,0,0,0
"Schaedlerella sp910589385",696,6433,12180,7397,268,1400
"Schaedlerella arabinosiphila",1554,10598,1287,3447,462,5583
"Schaedlerella sp009911175",1028,2693,962,1242,766,4143
"MGYG000410694",40,248,325,281,33,158
"Schaedlerella sp000403295",248,1766,475,863,226,1134
"Schaedlerella sp910574865",6446,14803,5940,9850,2097,21860
"Schaedlerella sp910574195",54,370,136,905,41,625
"Schaedlerella sp943193195",31,113,46,115,31,143
"Schaedlerella sp009774255",128,446,180,454,98,538
"MGYG000328305",95,291,408,553,96,697
"MD308 sp910575105",1318,6380,5563,1859,263,3922
"MD308 sp010206225",2318,6459,2582,3081,448,5336
"MGYG000323047",77,194,77,102,11,171
"MD308 sp000403475",39,108,62,125,41,72
"MGYG000326632",15,88,53,53,0,49
"MD308 sp910578455",23,2860,64,237,36,151
"MD308 sp910586965",0,55,63,71,0,35
"MD308 sp910584615",23,44,16,23,10,35
"MGYG000410877",0,29,18,21,0,19
"MGYG000324148",16,59,139,40,24,117
"Sporofaciens sp910574715",833,4112,1105,2352,737,4885
"Sporofaciens sp910579015",48,549,66,1952,303,305
"MGYG000353267",213,1054,324,410,241,1132
"Sporofaciens sp910575835",332,956,434,910,302,1716
"Sporofaciens musculi",101,494,329,1024,439,544
"Sporofaciens sp009774295",91,270,263,549,111,580
"Sporofaciens sp910574885",54,298,191,538,82,398
"Sporofaciens sp000403455",30,171,129,1142,1731,92
"Sporofaciens sp910577685",29,107,59,108,31,113
"Sporofaciens sp910587575",12,68,18,48,0,43
"Sporofaciens sp910585725",1540,25,0,25,15,6012
"Sporofaciens sp910579925",0,15,0,11,11,23
"MGYG000402809",10,37,0,31,0,47
"UBA11957 sp910588295",11,153,68,133,252,68
"MGYG000410400",141,779,328,1418,40,2411
"Choladocola sp009774135",67,383,679,797,66,426
"Choladocola sp910583615",91,418,262,1848,516,701
"Choladocola sp910585995",34,250,21,3115,173,1944
"Choladocola sp009774145",1166,2746,2376,9442,3549,4840
"Choladocola sp910584945",30,205,47,2537,1066,1146
"Choladocola sp910579225",38,48,29,120,30,243
"Choladocola sp910584205",37,167,78,223,40,274
"Choladocola sp910574965",291,888,519,847,326,901
"Choladocola sp910575445",54,594,169,4879,773,619
"Choladocola sp910583895",14,56,34,83,12,52
"Choladocola sp009774155",20,110,55,772,263,134
"Choladocola sp910587495",12,79,44,89,16,85
"Choladocola sp910585465",0,21,25,66,20,40
"Choladocola sp910587765",0,24,21,54,0,20
"MGYG000392954",53,2533,585,2069,37,707
"Lachnoclostridium_B sp910584095",2064,3556,3977,1867,806,2048
"Lachnoclostridium_B sp910574185",618,1783,568,1758,314,4340
"MGYG000331109",27,273,153,226,0,80
"Lachnoclostridium_B sp910584265",16,94,49,57,0,61
"Lachnoclostridium_B sp910588745",0,33,11,31,0,51
"Lachnoclostridium_B sp910589275",0,38,14,40,0,31
"MGYG000328855",363,1152,1074,338,64,1024
"MGBC164599 sp910588825",338,265,455,106,100,523
"MGBC164599 sp910575625",789,6894,2709,1394,643,1869
"MGBC164599 sp910587105",27,30,27,36,15,66
"MGBC164599 sp910588775",43,840,167,83,0,20
"MGYG000330030",0,0,16,14,0,15
"MGYG000330180",0,27,13,23,0,14
"14-2 sp910588845",605,1954,1385,4535,217,3375
"14-2 sp910577785",78,654,81,2090,312,2158
"14-2 sp910576385",124,474,559,754,108,692
"14-2 sp910575155",64,291,275,719,297,325
"14-2 sp910575035",106,504,370,1030,192,713
"14-2 sp011960065",73,509,358,646,375,490
"MGYG000409996",25,40,29,100,36,403
"14-2 sp910588285",80,392,178,707,242,607
"14-2 sp910575005",36,171,97,283,53,188
"14-2 sp910584585",17,75,68,99,22,99
"14-2 sp000403255",30,98,138,207,43,209
"MGYG000411355",53,453,379,686,74,212
"14-2 sp910583835",39,214,120,373,82,279
"14-2 sp910575075",27,123,55,178,27,134
"14-2 sp000403315",158,459,2832,1567,185,696
"14-2 sp009774455",27,61,88,266,210,115
"14-2 sp910589635",11,43,25,79,12,65
"14-2 sp910576975",32,126,48,139,20,127
"MGYG000411595",50,114,108,128,54,74
"MGYG000328404",0,30,35,116,50,96
"14-2 sp910578825",0,52,0,72,0,57
"MGYG000410992",0,121,25,149,24,70
"MGYG000324849",0,70,30,21,0,37
