"","SLC_SMT_NEG_91J","SLC_SMT_NEG_142J","SLC_SMT_NEG_152I","SLC_SMT_NEG_90I","SLC_SMT_NEG_109I","SLC_SMT_NEG_160I","SLC_SMT_NEG_144I","SLC_SMT_NEG_156I","SLC_SMT_NEG_191I","SLC_SMT_NEG_152J","SLC_SMT_NEG_109J","SLC_SMT_NEG_153I","SLC_SMT_NEG_110I","SLC_SMT_NEG_158I","SLC_SMT_NEG_192I","SLC_SMT_NEG_160J","SLC_SMT_NEG_191J","SLC_SMT_NEG_155I","SLC_SMT_NEG_103I","SLC_SMT_NEG_159I","SLC_SMT_NEG_193I","SLC_SMT_NEG_153J","SLC_SMT_NEG_110J","SLC_SMT_NEG_17I","SLC_SMT_NEG_101I","SLC_SMT_NEG_137I","SLC_SMT_NEG_103J","SLC_SMT_NEG_159J","SLC_SMT_NEG_193J","SLC_SMT_NEG_88I","SLC_SMT_NEG_18I","SLC_SMT_NEG_141I","SLC_SMT_NEG_17J","SLC_SMT_NEG_101J","SLC_SMT_NEG_197I","SLC_SMT_NEG_91I","SLC_SMT_NEG_15I","SLC_SMT_NEG_142I","SLC_SMT_NEG_18J","SLC_SMT_NEG_194I","SLC_SMT_NEG_89I","SLC_SMT_NEG_16I","SLC_SMT_NEG_143I","SLC_SMT_NEG_141J","SLC_SMT_NEG_194J","SLC_SMT_NEG_75I","SLC_SMT_NEG_89J"
"NM07-P-09 sp004793925",1614793,4108664,1140672,360100,1458887,1303653,176788,2892,3012317,56410,3329807,1510000,2828521,3934,92187,28794,1234261,2984,3619908,64,2764974,1250350,1546686,100890,640970,846,1523899,33,4134945,1155196,1503862,1198897,186878,713477,1940389,3906074,222892,271267,5702922,1070,1301189,524111,47501,3219733,513,8420885,917163
"ZJ304 sp910584145",9659,399,117,1319,754,558,851,0,1515,38,766,596,1219,32,122,29,652,0,903,0,459,1127,235,87,189,19,297,0,613,1132,52,38,220,284,395,27869,25,62,176,74,39279,177,13,102,756,698,489
"Bifidobacterium globosum",607571,150073,67490,88402,186936,539540,77788,59,389247,1152,320433,156766,611056,318,22526,9566,150011,255,224098,0,55497,188610,60590,17589,28840,0,47768,0,84908,213556,74065,291,41910,33229,181772,1701361,19554,8544,157361,180,49674,188300,1358,516,361,1473485,1037
"MGYG000333678",154,457,54,102,423,543,64,21,442,281,472,141,888,94,110,181,364,19,617,73,518,296,214,13,238,27,283,50,587,82,21,508,105,420,105,659,60,76,89,549,661,81,101,891,546,349,28
"Schaedlerella sp910575475",2795,4515,21886,224,3260,56289,1316,650,101603,2444,5899,19394,312085,236,799,7650,31157,17477,360899,35,695611,4319,83398,6530,84448,149,157486,97,415590,14211,152934,184,1095,147177,83113,16243,42796,332,349565,57,5129,60719,185,583,0,204197,1769
"Lawsonibacter sp910588635",185,3223,25,29,105,297,25,643,142,129,103,80,1215,2222,27,66,63,21,342,71,721,151,240,22,162,952,246,33,613,55,396,2197,35,180,48,1256,232,224,1307,118,322,184,74,5196,131,2082,53
"MGBC122484 sp910587055",0,0,0,0,0,26,0,73,0,11,0,16,0,93,0,102,0,0,0,20,0,0,0,0,0,53,0,0,0,0,46,0,13,0,0,19,15,0,111,15,0,16,0,0,35,154,24
"Desulfovibrio sp009773975",338711,536554,18634,18697,310240,226591,37286,28516,448993,277,582520,14148,3849898,632235,15779,11655,133219,36,3422463,2163,654887,52751,212084,4419,48206,178516,528403,6926,1081921,23960,66713,161537,10394,442682,292372,1151220,6370,22459,305853,349,945436,69204,5275,751738,85,347036,50873
"NM07-P-09 sp004793665",25602,1298171,2007,4825,74224,3547,3066,256726,176767,149,206012,4916,224058,312619,5937,109,75962,0,201652,13191,105011,5178,73317,399,29618,245660,111706,3515,141888,3222,3296,898493,911,26182,2879,55768,1442,64093,11510,40,14381,21926,14045,3410758,13,151175,1497
"MGBC105563 sp910579165",892,1493,1163,565,1331,1530,285,0,3143,92,1610,2108,1570,0,155,55,1745,0,1684,0,1510,1829,777,172,1094,0,839,0,2156,660,667,782,311,994,1371,2337,374,423,2638,0,1307,643,95,1910,0,4665,489
"MGYG000327895",41,78,19,12,33,46,0,0,88,0,53,45,48,13,10,0,45,0,60,0,55,46,19,0,30,0,31,0,79,20,21,46,10,30,32,76,0,15,73,0,30,14,0,129,0,134,10
"Paratractidigestivibacter faecalis",14,149,13,11,17,21,0,20,53,0,24,13,38,65,0,0,22,0,27,0,16,12,11,0,0,25,14,0,15,0,0,111,0,12,35,27,0,31,0,0,0,0,0,317,0,38,0
"Paratractidigestivibacter sp900540955",11,37,0,0,23,15,0,0,41,0,14,0,38,0,0,0,18,0,19,0,25,0,0,0,0,0,0,0,33,0,0,23,0,0,0,25,0,10,0,0,23,0,0,41,0,11,0
"MGYG000330582",17,30,13,0,21,22,0,0,37,0,25,14,28,12,0,0,19,0,19,0,35,19,12,0,12,0,0,0,26,15,11,26,0,23,23,34,0,0,31,0,25,0,0,71,0,58,0
"MGYG000329032",58125,1404,67,9693,1246,736,6195,0,1574,0,1089,3291,4896,10,110,36,413,0,3315,0,1091,3742,853,484,759,0,826,0,1438,6695,58,743,989,987,209,170727,48,225,326,0,11753,190,46,1341,0,1069,889
"Adlercreutzia muris",51313,110360,3795,12930,96043,29173,7424,17,118139,60,104216,15401,185518,66,7800,788,28093,0,163387,0,140167,22757,58511,2364,35797,19,58659,0,159514,29598,13716,40192,5211,40187,8614,169819,6385,10409,71792,0,94108,27591,1816,74943,0,225323,7040
"Adlercreutzia caecimuris",29037,186015,6855,4884,94919,66996,4262,0,121006,67,116970,3577,268335,26,6388,1753,27491,0,192571,0,122039,5193,42692,574,26099,15,40431,0,163649,6306,1108,29964,1270,37432,26279,90829,618,16124,5681,0,110814,2516,2274,60009,0,18423,2667
"Adlercreutzia mucosicola",4048,20786,1977,961,8018,16486,637,0,8765,24,8486,969,19908,0,568,650,2248,0,16405,0,8791,1599,5520,170,3604,0,6885,0,10334,2166,421,35469,383,4641,4371,13620,217,1627,2184,0,17019,889,529,65717,0,6418,490
"MGYG000329825",2482,5848,298,738,5076,2421,528,0,6192,0,4581,741,9430,10,480,103,1583,0,7593,0,6026,1064,2407,113,1897,0,2364,0,6849,1243,446,2439,236,2259,728,7855,288,675,2290,0,5380,1170,136,4301,0,7557,262
"Adlercreutzia hattorii",1280,1058,78,330,760,571,246,0,1075,0,753,219,1493,0,74,15,309,0,1181,0,822,310,349,34,337,0,364,0,1081,290,56,519,79,385,170,3926,42,146,314,0,1158,164,33,942,0,1026,57
"Adlercreutzia sp910589165",506,723,41,186,668,432,106,0,789,0,517,118,1078,0,48,16,220,0,885,0,631,157,291,17,258,11,287,0,784,175,46,366,36,297,116,1495,21,89,248,0,807,132,16,717,0,784,36
"MGYG000329537",473,1841,159,135,923,1527,76,11,1136,0,923,140,1768,21,84,74,297,0,1288,0,1357,214,469,23,300,0,538,0,1823,223,36,1868,42,418,386,1384,33,209,216,0,1397,74,43,3400,0,531,35
"MGYG000327852",375,836,49,119,640,389,88,0,889,0,589,99,1226,0,54,25,227,0,986,0,722,151,286,23,258,0,307,0,845,145,45,384,31,339,134,1181,30,114,203,0,796,148,20,656,0,709,33
"Adlercreutzia sp910585575",318,516,49,118,358,417,78,0,522,0,326,76,820,54,28,0,161,0,606,0,408,120,194,13,197,25,166,0,511,99,21,387,17,295,103,999,10,64,81,0,566,30,11,748,0,245,20
"MGBC163016 sp910588205",44620,43978,3578,6219,66807,22379,4953,77,95839,15,72773,6213,256645,275,4962,797,27601,0,266854,0,135330,12326,63357,969,32115,144,70503,0,227931,11976,10205,445,1804,51460,13481,135729,2658,2814,48474,0,38078,8156,496,1108,0,129955,487
"MGBC163016 sp910589135",37786,34435,6346,5083,27006,51872,3691,28,36715,61,36747,8282,64765,57,2187,2092,11972,0,51598,0,46127,16260,11800,1274,6050,19,20026,0,59642,13658,1477,102,2415,10174,16921,88915,454,2279,7934,0,44622,6601,347,198,0,32342,360
"MGBC163016 sp910588945",15509,37503,2434,1780,26761,6314,2440,20223,41212,41,36996,6603,37872,83187,3420,430,10977,0,19559,918,38293,12718,14249,1002,10434,55288,15562,1227,51458,8260,4728,28975,1956,16765,11065,67719,1048,4137,27498,0,53868,4339,1363,102130,0,34138,309
"MGBC163016 sp910588905",10161,9072,998,1646,17377,6415,1237,0,24587,11,18588,1805,47134,28,1296,226,7277,0,46141,0,30238,3445,11432,266,6791,10,12208,0,50552,3104,1887,355,550,10273,3399,29653,567,646,8717,0,11170,1858,123,826,0,24511,181
"MGYG000329984",3706,3159,594,814,7212,1041,431,34,10028,20,8672,1618,14133,137,640,53,3369,0,8129,0,7666,1918,5511,184,2291,70,2109,0,10499,1419,58,3494,325,2815,1717,9753,15,172,190,0,5495,61,83,12292,0,525,548
"MGYG000328464",392,405,59,154,1423,380,97,0,2052,0,1123,154,2693,11,140,26,735,0,2407,0,1914,276,577,14,749,0,641,0,3091,132,79,22,41,1096,175,1353,55,56,355,0,730,176,17,87,0,1119,0
"MGYG000366993",159,209,43,42,224,342,47,0,335,0,180,65,367,23,24,12,139,0,304,0,246,128,70,12,84,0,118,0,314,60,10,27,21,119,80,419,0,33,33,0,336,48,0,52,0,129,0
"MGBC163016 sp910585565",156,241,30,30,262,259,36,11,378,0,242,57,450,37,29,15,128,0,336,0,273,118,104,0,110,28,124,0,389,37,0,33,16,155,75,402,0,32,33,0,302,32,0,114,0,114,0
"MGBC163016 sp910589125",118,110,27,24,249,110,24,0,392,0,211,40,517,19,27,0,151,0,517,0,248,69,147,0,135,18,121,0,426,36,13,42,18,223,49,393,0,0,51,0,167,34,0,144,0,184,0
"MGYG000328353",107,127,15,37,496,82,23,0,746,0,551,57,668,18,41,0,239,0,550,0,738,64,165,0,150,20,157,0,1235,50,0,52,14,248,67,323,0,17,48,0,239,20,0,197,0,123,0
"MGBC163016 sp910580205",67,73,15,18,125,90,19,0,189,0,99,27,312,0,13,0,71,0,266,0,118,51,86,0,99,0,81,0,194,22,0,14,0,100,27,193,0,13,34,0,128,13,0,42,0,111,0
"MGBC163016 sp910588985",50,64,0,14,93,53,10,0,136,0,74,18,166,38,14,0,47,0,126,0,92,40,33,0,68,17,38,0,107,13,0,21,0,90,23,110,0,14,13,0,97,0,0,57,0,31,0
"MGBC163016 sp910588435",43,56,0,11,81,29,13,0,102,0,58,17,172,25,0,0,44,0,136,0,63,23,48,0,38,13,39,0,109,18,0,13,0,75,20,94,0,0,14,0,67,0,0,61,0,59,0
"D16-63 sp910588095",14857,40854,934,2092,25425,3563,1908,46,35814,23,33263,2132,49075,223,2309,204,10693,0,38150,0,23005,2300,11501,300,9235,84,6515,0,31659,3071,226,2094,490,10873,3709,37423,111,2088,909,0,18802,344,696,5828,0,2115,184
"MGYG000328321",285,642,445,65,10392,859,54,0,16131,0,10995,667,1054,0,1129,32,4648,0,827,0,3984,1283,269,122,239,0,216,0,5264,895,13,89,175,273,1245,751,10,51,55,0,459,42,10,242,0,228,0
"MGYG000410711",113,356,24,36,357,163,23,46,455,0,339,56,545,209,36,0,135,0,353,0,322,83,121,0,119,104,109,0,418,50,17,119,14,193,61,465,0,43,71,0,356,22,0,299,0,133,0
"Enterorhabdus sp009911695",10523,42043,1526,1633,20294,26588,1305,83,29505,37,22831,4711,44539,194,1558,710,7563,0,26959,0,41144,6493,10874,755,5418,71,15165,0,55326,7910,62,8138,1172,8829,8018,31221,21,4319,343,0,19973,111,468,17809,0,873,219
"MGYG000329834",749,2964,97,149,1624,1960,97,0,2237,0,1667,345,3074,0,134,43,596,0,1814,0,3076,500,752,41,472,0,933,0,4146,506,0,538,75,690,556,2246,0,330,22,0,1438,17,35,1016,0,91,16
"Enterorhabdus sp910589695",274,794,43,58,472,680,42,0,690,0,418,136,817,0,39,15,190,0,498,0,738,159,191,27,148,0,273,0,938,143,0,177,27,279,179,690,0,100,0,0,454,0,10,368,0,34,0
"D16-34 sp910575165",9714,17292,1370,1566,13258,19910,1179,26,20292,18,15921,4597,39678,105,1371,599,5081,0,28126,0,21271,4539,8664,608,4583,60,6807,0,25872,6438,79,2506,1007,4992,6236,32111,24,1369,368,0,11666,108,276,6684,0,734,113
"D16-34 sp003612515",21,23,0,13,47,43,0,0,61,0,33,18,39,0,0,0,24,0,37,0,45,23,17,0,31,0,24,0,52,13,0,12,0,30,22,64,0,0,0,0,39,0,0,24,0,33,0
"D16-34 sp910577495",15,29,16,12,50,78,0,0,58,0,33,32,35,0,0,0,27,0,26,0,47,39,23,0,28,0,11,0,64,14,0,0,0,37,32,64,0,0,0,0,41,0,0,11,0,0,0
"ZJ304 sp943192905",60,204,0,13,175,86,11,0,234,0,170,18,262,45,13,0,65,0,166,0,183,38,62,0,48,29,56,0,237,26,0,55,11,90,31,167,0,21,14,0,167,10,0,133,0,33,0
"MGYG000401219",48,94,0,11,102,60,12,16,110,0,101,14,154,67,0,0,35,0,106,0,93,25,43,0,38,36,31,0,96,14,0,30,0,61,25,89,0,14,18,0,114,0,0,89,0,30,0
"Parvibacter caecicola",5637,18878,44,993,4725,332,725,20,5358,0,4560,1189,28066,57,222,18,1579,0,28324,0,6577,1680,7098,208,3630,38,11366,0,9040,2297,10,760,308,4881,118,15197,14,1887,76,0,14631,36,202,1463,0,218,95
"Parvibacter sp910587945",223,748,177,73,597,354,48,0,931,0,804,254,952,23,80,11,332,0,775,0,634,208,260,17,167,10,294,0,961,129,122,199,39,292,279,753,31,95,455,0,538,75,10,474,0,775,121
"MGYG000329896",51,110,0,26,112,110,13,0,139,0,77,30,191,0,11,0,53,0,145,0,99,47,45,0,55,0,59,0,119,30,0,42,12,83,36,176,0,17,15,0,128,14,0,62,0,59,0
"Parvibacter sp910588725",44,88,0,17,104,69,12,0,173,0,69,29,177,0,12,0,40,0,137,0,85,36,31,0,45,0,32,0,102,15,0,30,0,86,24,116,0,13,0,0,103,0,0,43,0,15,0
"MGYG000328306",848,2671,75,378,2662,1279,239,13,4318,0,1823,641,6188,40,230,68,1697,0,3751,0,1837,926,1289,95,2242,20,1277,0,2644,407,0,57,176,3708,173,2086,0,506,11,0,2385,0,133,198,0,14,0
"MGYG000328451",157,255,24,37,214,219,23,0,337,0,236,66,477,0,21,12,113,0,306,0,248,96,109,11,104,0,122,0,345,69,12,16,18,198,70,424,0,33,22,0,249,24,0,52,0,106,0
"Anaerotardibacter sp000435675",122,12,17,30,316,143,31,0,434,0,208,43,236,0,82,0,125,0,123,0,376,119,88,0,225,0,92,0,462,41,0,0,27,195,101,492,0,0,0,0,289,0,0,0,0,0,0
"Anaerotardibacter sp900753095",17,33,0,0,44,54,0,0,74,0,30,13,49,0,0,0,16,0,37,0,46,30,23,0,28,0,19,0,66,0,0,10,0,44,12,76,0,0,0,0,27,0,0,27,0,0,0
"Gordonibacter pamelaeae",39,55,0,22,98,67,14,0,139,0,53,21,161,0,0,0,58,0,120,0,61,47,36,0,62,0,34,0,84,30,0,24,10,81,18,129,0,13,0,0,103,0,0,50,0,19,0
"Eggerthella lenta",28,59,10,13,71,77,12,0,107,0,64,31,118,0,0,0,41,0,85,0,61,32,22,0,47,0,35,0,73,17,0,43,0,50,25,85,0,12,0,0,63,0,0,89,0,17,0
"Ellagibacter isourolithinifaciens",18,53,0,0,57,56,0,22,77,0,41,22,82,57,0,0,28,0,60,0,51,27,19,0,18,24,23,0,55,11,0,21,0,32,23,79,0,0,24,0,76,0,0,77,0,31,0
"Senegalimassilia faecalis",14,36,0,0,28,39,0,0,54,0,35,14,60,0,0,0,22,0,36,0,30,23,11,0,24,0,20,0,43,11,0,20,0,25,16,56,0,0,0,0,38,0,0,76,0,0,0
"Slackia_A isoflavoniconvertens",10,0,0,0,14,18,0,0,27,0,17,0,22,0,0,0,12,0,19,0,13,0,12,0,0,0,0,0,17,0,0,0,0,0,0,23,0,0,0,0,25,0,0,0,0,15,0
"Collinsella aerofaciens_J",15,31,0,0,24,14,0,0,26,0,0,0,38,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,24,0,0,18,0,0,0,43,0,0,0,0,25,0,0,32,0,0,0
"Enorma burkinafasonensis",26,33,0,13,26,51,0,0,48,0,36,16,59,0,0,0,21,0,34,0,15,31,0,0,19,0,0,0,18,18,0,14,0,19,0,85,0,0,20,0,20,28,0,40,0,74,0
"MGYG000410812",15,38,0,0,48,29,0,0,35,0,34,0,65,0,0,0,19,0,38,0,29,0,14,0,16,0,21,0,43,0,0,13,0,21,0,46,0,0,0,0,35,0,0,27,0,0,0
"UMGS124 sp900555105",13,34,0,0,44,16,0,0,44,0,23,0,57,0,0,0,23,0,23,0,18,0,10,0,13,0,0,0,32,0,0,0,0,28,0,15,0,0,0,0,35,0,0,19,0,16,0
"Bifidobacterium animalis",3536,1532,641,858,1692,4223,795,0,4458,16,2006,1448,4125,0,340,98,2082,0,1249,0,350,1920,378,185,352,0,314,0,575,1381,583,0,486,348,2282,10793,203,253,1326,0,385,1608,37,0,0,7997,0
"Bifidobacterium adolescentis",139,23,31,28,50,163,35,0,94,0,66,35,126,0,0,0,43,0,48,0,12,48,16,0,0,0,13,0,15,56,17,0,0,0,46,389,0,0,30,0,17,54,0,0,0,260,0
"Bifidobacterium pseudocatenulatum",78,13,13,20,22,85,16,0,38,0,20,23,81,0,0,0,29,0,24,0,0,27,0,0,0,0,0,0,0,39,13,0,0,0,23,177,0,0,13,0,0,29,0,0,0,175,0
"Bifidobacterium bifidum",55,0,0,15,32,54,11,0,21,0,16,0,36,0,0,0,16,0,22,0,0,10,0,0,0,0,0,0,0,10,11,0,0,0,19,91,0,0,0,0,0,23,0,0,0,76,0
"Bifidobacterium longum",52,18,0,15,27,43,14,0,61,0,25,15,102,0,0,0,19,0,75,0,16,20,16,0,20,0,15,0,22,25,0,0,0,23,17,144,0,0,14,0,22,14,0,0,0,97,0
"MGYG000329693",21,22,0,0,14,36,0,0,24,0,13,17,21,0,0,0,14,0,0,0,0,20,0,0,0,0,0,0,0,0,0,19,0,0,12,51,0,0,0,0,0,16,0,0,102,61,0
"Paramuribaculum intestinale",83676,293,720,2661,87419,52601,3536,47,136650,39,139893,4358,84338,75,28420,4348,35691,0,37772,0,521169,36843,66040,1855,21909,357,92199,0,703715,19130,18,257,5621,70547,28445,325806,74,20,72,28,44451,22,40,383,14,374,6736
"Paramuribaculum sp001689565",17884,4169,267,955,11959,31977,1652,582,53173,29,26284,10415,36746,543,7156,2242,10540,0,12311,13,197852,78690,98195,3495,11745,2210,143075,56,237342,42960,94,1322,9047,72607,7401,80569,506,86,532,15,64361,116,163,2989,0,2725,28795
"Paramuribaculum sp910579675",300,699,40,26,200,1049,49,121,857,0,275,162,223,45,203,181,261,0,77,0,1455,1857,838,94,236,364,1456,17,2296,634,18,301,384,1372,351,2143,108,34,45,0,609,14,78,430,0,263,221
"MGYG000329858",269,395,0,0,71,494,15,101,369,0,279,40,92,161,77,70,148,0,25,0,888,628,558,43,127,404,914,0,1258,268,51,25,128,628,208,1555,95,15,204,0,226,53,0,50,0,817,80
"Paramuribaculum sp910578805",261,572,21,26,226,962,34,44,529,0,290,83,496,118,160,85,217,0,149,0,1232,1316,596,56,174,322,746,0,1436,339,12,288,306,1056,232,1517,70,37,109,0,383,21,37,631,0,382,161
"MGYG000325717",227,110,81,29,234,669,39,14,324,0,208,66,524,10,93,54,158,0,93,0,713,677,184,19,85,142,329,0,751,172,0,66,93,218,313,1065,28,0,19,0,153,0,0,91,0,128,73
"Paramuribaculum sp910579185",229,286,10,23,139,692,40,42,632,0,199,113,202,18,145,78,231,0,60,0,1103,1461,645,70,230,130,1145,0,1710,445,0,86,241,1051,165,1110,29,14,15,0,471,0,27,218,0,92,144
"MGYG000329300",186,203,18,27,149,590,29,55,667,10,224,215,199,21,137,72,206,0,117,0,1164,1474,830,62,184,114,1539,0,2035,535,0,41,204,1188,114,977,19,0,10,0,849,0,14,75,0,92,352
"Paramuribaculum sp009775605",174,157,60,54,323,555,48,11,341,0,138,77,574,0,131,70,145,0,137,0,719,694,186,34,170,38,408,0,661,144,0,128,116,326,263,869,11,0,0,0,245,0,19,178,0,35,48
"Paramuribaculum sp910586475",113,160,43,19,141,403,41,12,206,0,73,35,258,42,88,41,104,0,48,0,316,371,109,15,77,120,268,0,352,106,0,63,63,167,162,626,17,0,25,0,155,0,0,113,0,113,33
"MGYG000325727",92,158,13,12,78,227,19,23,143,0,73,33,157,0,48,18,60,0,24,0,298,294,113,15,49,64,207,0,347,94,0,88,48,168,100,583,17,11,0,0,111,0,20,110,0,53,30
"Paramuribaculum sp910588065",83,131,0,0,60,324,22,81,343,0,83,56,90,88,85,51,102,0,41,0,855,828,454,49,124,316,880,0,1266,354,22,112,163,786,101,626,49,17,92,0,282,20,12,234,0,355,125
"Paramuribaculum sp910578305",77,242,18,0,80,244,13,18,142,0,63,17,140,26,33,19,57,0,37,0,306,260,106,0,52,110,188,0,413,90,0,182,52,215,91,508,29,16,43,0,63,0,22,485,0,145,19
"Paramuribaculum sp910587185",73,358,13,12,114,275,11,18,228,0,109,59,204,28,56,34,74,0,94,0,403,341,184,18,97,102,273,0,594,119,0,222,62,289,97,554,19,27,27,0,168,0,34,316,0,151,68
"Paramuribaculum sp910577465",43,349,18,0,58,183,0,19,129,0,72,39,59,0,33,22,74,0,11,0,194,315,90,11,22,36,186,0,346,71,0,78,69,170,87,300,15,0,0,0,112,0,15,134,0,32,46
"Paramuribaculum sp910586895",27,77,0,0,22,133,0,102,37,0,20,13,29,40,0,18,12,0,10,0,92,103,26,0,0,176,32,0,115,48,0,19,23,35,60,261,55,0,13,0,28,0,0,37,0,151,10
"Paramuribaculum sp910589095",26,13,0,0,22,95,0,0,76,0,17,10,26,0,19,14,24,0,0,0,112,152,52,17,16,14,111,0,164,42,0,0,32,113,25,98,0,0,0,0,55,0,0,0,0,0,0
"Paramuribaculum sp014800945",20,74,0,0,12,66,0,0,30,0,14,0,28,0,14,10,21,0,0,0,66,55,29,0,13,29,52,0,99,20,0,45,13,44,33,131,0,0,0,0,16,0,0,55,0,28,10
"MGYG000325457",16,100,0,0,0,32,0,0,23,0,19,0,14,0,0,0,14,0,0,0,57,45,16,0,0,0,32,0,69,0,0,20,0,22,21,97,0,0,0,0,20,0,0,27,0,0,14
"Paramuribaculum sp014802045",15,16,0,0,18,59,15,0,43,0,14,0,33,0,11,0,19,0,0,0,86,100,11,0,15,0,50,0,68,0,0,0,13,40,29,108,0,0,0,0,25,0,0,0,0,10,0
"MGYG000325750",14,12,0,0,13,35,0,0,31,0,0,0,0,0,0,0,16,0,0,0,24,52,11,0,0,0,10,0,51,11,0,0,0,17,0,58,0,0,0,0,0,0,0,0,0,0,0
"MGYG000325361",13,14,0,0,32,35,0,0,45,0,24,0,17,0,20,0,13,0,0,0,89,53,25,0,10,0,53,0,107,0,0,13,0,49,0,67,0,0,0,0,36,0,0,18,0,0,0
"Paramuribaculum sp014801865",11,24,0,0,0,40,0,11,18,0,10,0,0,0,0,0,14,0,0,0,30,20,0,0,0,35,0,0,29,0,0,13,0,17,12,53,14,0,11,0,0,0,0,33,0,52,0
"Paramuribaculum sp014801655",11,27,0,0,0,34,0,0,22,0,0,0,0,0,0,0,16,0,0,0,38,37,21,0,11,0,11,0,46,19,0,0,15,28,0,74,0,0,0,0,0,0,0,12,0,0,0
"MGYG000325540",10,15,0,0,0,24,0,0,10,0,0,0,12,0,0,0,0,0,0,0,26,13,10,0,0,0,13,0,33,14,0,0,0,0,11,29,0,0,0,0,0,0,0,14,0,0,0
"Duncaniella sp910576785",220562,942,573,2530,38673,524592,6663,332,333819,18,152310,22172,10710,163,34652,59676,124426,28,1703,0,467735,596427,139509,39085,22281,762,62143,21,788910,364989,27,292,120661,121846,163069,717082,148,40,139,1147,7906,21,66,635,146,808,6936
